"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO BP","GO:2001138","regulation of phospholipid transport",0,14,19,17692,"0/19","14/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0043666","regulation of phosphoprotein phosphatase activity",0,51,19,17692,"0/19","51/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0120305","regulation of pigmentation",0,16,19,17692,"0/19","16/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0048548","regulation of pinocytosis",0,13,19,17692,"0/19","13/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0097006","regulation of plasma lipoprotein particle levels",0,64,19,17692,"0/19","64/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly",0,207,19,17692,"0/19","207/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1903729","regulation of plasma membrane organization",0,18,19,17692,"0/19","18/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010755","regulation of plasminogen activation",0,17,19,17692,"0/19","17/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010543","regulation of platelet activation",0,43,19,17692,"0/19","43/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090330","regulation of platelet aggregation",0,23,19,17692,"0/19","23/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway",0,24,19,17692,"0/19","24/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0071801","regulation of podosome assembly",0,15,19,17692,"0/19","15/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032885","regulation of polysaccharide biosynthetic process",0,39,19,17692,"0/19","39/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032881","regulation of polysaccharide metabolic process",0,47,19,17692,"0/19","47/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0050926","regulation of positive chemotaxis",0,27,19,17692,"0/19","27/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0060147","regulation of post-transcriptional gene silencing",0,34,19,17692,"0/19","34/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1900368","regulation of post-transcriptional gene silencing by regulatory ncRNA",0,33,19,17692,"0/19","33/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901873","regulation of post-translational protein modification",0,288,19,17692,"0/19","288/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099175","regulation of postsynapse organization",0,138,19,17692,"0/19","138/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099151","regulation of postsynaptic density assembly",0,15,19,17692,"0/19","15/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1905874","regulation of postsynaptic density organization",0,19,19,17692,"0/19","19/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",0,133,19,17692,"0/19","133/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0060078","regulation of postsynaptic membrane potential",0,128,19,17692,"0/19","128/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0098962","regulation of postsynaptic neurotransmitter receptor activity",0,18,19,17692,"0/19","18/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization",0,28,19,17692,"0/19","28/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099150","regulation of postsynaptic specialization assembly",0,20,19,17692,"0/19","20/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1905606","regulation of presynapse assembly",0,38,19,17692,"0/19","38/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099174","regulation of presynapse organization",0,42,19,17692,"0/19","42/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099509","regulation of presynaptic cytosolic calcium ion concentration",0,21,19,17692,"0/19","21/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002700","regulation of production of molecular mediator of immune response",0,206,19,17692,"0/19","206/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0062098","regulation of programmed necrotic cell death",0,28,19,17692,"0/19","28/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0061136","regulation of proteasomal protein catabolic process",0,191,19,17692,"0/19","191/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process",0,138,19,17692,"0/19","138/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901983","regulation of protein acetylation",0,43,19,17692,"0/19","43/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0031952","regulation of protein autophosphorylation",0,45,19,17692,"0/19","45/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0042176","regulation of protein catabolic process",0,360,19,17692,"0/19","360/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1904350","regulation of protein catabolic process in the vacuole",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0061635","regulation of protein complex stability",0,14,19,17692,"0/19","14/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090311","regulation of protein deacetylation",0,38,19,17692,"0/19","38/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0035304","regulation of protein dephosphorylation",0,84,19,17692,"0/19","84/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901879","regulation of protein depolymerization",0,93,19,17692,"0/19","93/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090085","regulation of protein deubiquitination",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0070861","regulation of protein exit from endoplasmic reticulum",0,22,19,17692,"0/19","22/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0046825","regulation of protein export from nucleus",0,37,19,17692,"0/19","37/17692",0,1,"",1,""
