"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT1060PR","Dopamine","C03758","mmu04081","Hormone signaling"
"FT1060PR","Dopamine","C03758","mmu04082","Neuroactive ligand signaling"
"FT1060PR","Dopamine","C03758","mmu04540","Gap junction"
"FT1060PR","Dopamine","C03758","mmu04721","Synaptic vesicle cycle"
"FT1060PR","Dopamine","C03758","mmu04728","Dopaminergic synapse"
"FT1060PR","Dopamine","C03758","mmu04917","Prolactin signaling pathway"
"FT1060PR","Dopamine","C03758","mmu04976","Bile secretion"
"FT1060PR","Dopamine","C03758","mmu05012","Parkinson disease"
"FT1060PR","Dopamine","C03758","mmu05030","Cocaine addiction"
"FT1060PR","Dopamine","C03758","mmu05031","Amphetamine addiction"
"FT1060PR","Dopamine","C03758","mmu05032","Morphine addiction"
"FT1060PR","Dopamine","C03758","mmu05034","Alcoholism"
"FT1738PR","L-Tyrosine","C00082","mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"FT1738PR","L-Tyrosine","C00082","mmu00350","Tyrosine metabolism"
"FT1738PR","L-Tyrosine","C00082","mmu00360","Phenylalanine metabolism"
"FT1738PR","L-Tyrosine","C00082","mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"FT1738PR","L-Tyrosine","C00082","mmu00730","Thiamine metabolism"
"FT1738PR","L-Tyrosine","C00082","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1738PR","L-Tyrosine","C00082","mmu04728","Dopaminergic synapse"
"FT1738PR","L-Tyrosine","C00082","mmu04916","Melanogenesis"
"FT1738PR","L-Tyrosine","C00082","mmu04917","Prolactin signaling pathway"
"FT1738PR","L-Tyrosine","C00082","mmu04974","Protein digestion and absorption"
"FT1738PR","L-Tyrosine","C00082","mmu05012","Parkinson disease"
"FT1738PR","L-Tyrosine","C00082","mmu05030","Cocaine addiction"
"FT1738PR","L-Tyrosine","C00082","mmu05031","Amphetamine addiction"
"FT1738PR","L-Tyrosine","C00082","mmu05034","Alcoholism"
"FT1738PR","L-Tyrosine","C00082","mmu05230","Central carbon metabolism in cancer"
"FT4081NR","Nervonic acid","C08323","mmu01040","Biosynthesis of unsaturated fatty acids"
"FT5179PR","S-Adenosylmethionine","C00019","mmu00270","Cysteine and methionine metabolism"
"FT5179PR","S-Adenosylmethionine","C00019","mmu00330","Arginine and proline metabolism"
"FT5179PR","S-Adenosylmethionine","C00019","mmu00670","One carbon pool by folate"
"FT5179PR","S-Adenosylmethionine","C00019","mmu04122","Sulfur relay system"
"FT5179PR","S-Adenosylmethionine","C00019","mmu04148","Efferocytosis"
"FT5179PR","S-Adenosylmethionine","C00019","mmu04981","Folate transport and metabolism"
"FT5179PR","S-Adenosylmethionine","C00019","mmu05208","Chemical carcinogenesis - reactive oxygen species"
"FT1169NR","4-Acetamidobutanoic acid","C02946","mmu00330","Arginine and proline metabolism"
