"PathwayID","PathwayName","SetSize","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","Concordant","MeanAbsR","MinAbsR","VIPORAFoldEnrichment","VIPORAOverlap","VIPORAPvalue","VIPORAFDR"
"mmu00040","Pentose and glucuronate interconversions",6,0.321082747644684,0.534926751930255,0.929261146718664,6,0.532389231863284,0.174355549046278,0.520819330923092,8,TRUE,0.426735989753984,0.321082747644684,0,0,1,1
"mmu05032","Morphine addiction",4,0.314121880214063,0.544314784028794,0.929261146718664,6,0.342427396113589,0.406372914355272,0.638488091793299,8,TRUE,0.328274638163826,0.314121880214063,2.69318181818182,1,0.324502682101042,1
"mmu00020","Citrate cycle (TCA cycle)",6,0.443520799597254,0.378341444008801,0.849717999360622,6,0.312615102297374,0.450916176300704,0.63853757827341,8,TRUE,0.378067950947314,0.312615102297374,1.79545454545455,1,0.446291139631071,1
"mmu04540","Gap junction",4,0.56143702795054,0.246330172147328,0.692089758344729,6,0.310897746414523,0.453540709801675,0.63853757827341,8,TRUE,0.436167387182531,0.310897746414523,2.69318181818182,1,0.324502682101042,1
"mmu05146","Amoebiasis",4,0.308909877797664,0.551374094130688,0.929261146718664,6,0.471315941355619,0.238432993221206,0.566940672770423,8,TRUE,0.390112909576642,0.308909877797664,0,0,1,1
"mmu00730","Thiamine metabolism",4,0.766341775808039,0.0755158270324332,0.565060988679585,6,0.306686075662464,0.460003400822849,0.639225505039544,8,TRUE,0.536513925735251,0.306686075662464,2.69318181818182,1,0.324502682101042,1
"mmu00750","Vitamin B6 metabolism",6,0.841972996608111,0.0354856333596911,0.565060988679585,6,0.293219011598661,0.480914294096613,0.646423244722477,8,TRUE,0.567596004103386,0.293219011598661,3.59090909090909,2,0.0982455702563161,0.95566145612962
"mmu02010","ABC transporters",32,0.316647904791906,0.540902635695494,0.929261146718664,6,0.291692965346686,0.483307098857926,0.646423244722477,8,TRUE,0.304170435069296,0.291692965346686,0.336647727272727,1,0.965054294079734,1
"mmu00053","Ascorbate and aldarate metabolism",9,0.288934649423424,0.578658624997813,0.929261146718664,6,0.567743769247233,0.142113205340219,0.506870432380116,8,TRUE,0.428339209335328,0.288934649423424,0,0,1,1
"mmu04148","Efferocytosis",16,-0.278365801130764,0.593236235989179,0.929261146718664,6,-0.610681806154113,0.107800541709728,0.501506867953952,8,TRUE,0.444523803642438,0.278365801130764,1.34659090909091,2,0.45000034706686,1
"mmu05231","Choline metabolism in cancer",15,-0.276070312701883,0.596414855204682,0.929261146718664,6,-0.473307672167169,0.236178826154487,0.566940672770423,8,TRUE,0.374688992434526,0.276070312701883,0,0,1,1
"mmu05030","Cocaine addiction",5,0.265281862384212,0.611411741193721,0.929261146718664,6,0.318763554459038,0.441571203670132,0.638488091793299,8,TRUE,0.292022708421625,0.265281862384212,4.30909090909091,2,0.0693792315640971,0.762773337391502
"mmu05031","Amphetamine addiction",5,0.265281862384212,0.611411741193721,0.929261146718664,6,0.318763554459038,0.441571203670132,0.638488091793299,8,TRUE,0.292022708421625,0.265281862384212,4.30909090909091,2,0.0693792315640971,0.762773337391502
"mmu05034","Alcoholism",5,0.265281862384212,0.611411741193721,0.929261146718664,6,0.318763554459038,0.441571203670132,0.638488091793299,8,TRUE,0.292022708421625,0.265281862384212,4.30909090909091,2,0.0693792315640971,0.762773337391502
"mmu04724","Glutamatergic synapse",3,0.26312137459904,0.614426260453488,0.929261146718664,6,0.363504269569652,0.376089190861414,0.638488091793299,8,TRUE,0.313312822084346,0.26312137459904,3.59090909090909,1,0.254403903828509,1
"mmu04928","Parathyroid hormone synthesis, secretion and action",3,0.251865489081569,0.630190464243609,0.929261146718664,6,0.347004174036414,0.399709753864017,0.638488091793299,8,TRUE,0.299434831558991,0.251865489081569,0,0,1,1
"mmu05215","Prostate cancer",4,0.246893914047574,0.637184036300927,0.929261146718664,6,0.682052615881004,0.0624109486390637,0.473981327862591,8,TRUE,0.464473264964289,0.246893914047574,0,0,1,1
"mmu00330","Arginine and proline metabolism",13,-0.237716913836732,0.650141241143797,0.929261146718664,6,-0.623375603177958,0.098672764066359,0.501506867953952,8,TRUE,0.430546258507345,0.237716913836732,0.828671328671329,1,0.727866650780027,1
"mmu05230","Central carbon metabolism in cancer",18,0.217741509271817,0.678549447162898,0.929261146718664,6,0.568459357962822,0.141497778557789,0.506870432380116,8,TRUE,0.39310043361732,0.217741509271817,2.39393939393939,4,0.0712872277935984,0.762773337391502
"mmu00480","Glutathione metabolism",10,0.214258716966114,0.683529890348723,0.929261146718664,6,0.329456235428784,0.425513588557543,0.638488091793299,8,TRUE,0.271857476197449,0.214258716966114,1.07727272727273,1,0.629985694805242,1
"mmu00051","Fructose and mannose metabolism",4,0.448973555849353,0.371791094446113,0.849717999360622,6,0.198444431250663,0.637569760907867,0.78834393471516,8,TRUE,0.323708993550008,0.198444431250663,0,0,1,1
"mmu00360","Phenylalanine metabolism",5,0.229333497450726,0.662030519956436,0.929261146718664,6,0.196469327874504,0.640989928226345,0.78834393471516,8,TRUE,0.212901412662615,0.196469327874504,4.30909090909091,2,0.0693792315640971,0.762773337391502
"mmu04022","cGMP-PKG signaling pathway",3,0.195586271469704,0.710361570391566,0.929261146718664,6,0.482341926772654,0.226091667370469,0.566940672770423,8,TRUE,0.338964099121179,0.195586271469704,0,0,1,1
"mmu04740","Olfactory transduction",3,0.195586271469704,0.710361570391566,0.929261146718664,6,0.482341926772654,0.226091667370469,0.566940672770423,8,TRUE,0.338964099121179,0.195586271469704,0,0,1,1
"mmu00650","Butanoate metabolism",7,0.235309314510894,0.653550622314854,0.929261146718664,6,0.179788114088301,0.670091129513158,0.81476989611259,8,TRUE,0.207548714299597,0.179788114088301,0,0,1,1
"mmu00270","Cysteine and methionine metabolism",15,0.328895774064724,0.524445066484071,0.929261146718664,6,0.169550888764174,0.688132244580917,0.827305058091664,8,TRUE,0.249223331414449,0.169550888764174,1.43636363636364,2,0.415647675688006,1
"mmu04728","Dopaminergic synapse",4,0.167449440762623,0.75117342268185,0.929261146718664,6,0.237822163647757,0.570611992100464,0.726850989937496,8,TRUE,0.20263580220519,0.167449440762623,5.38636363636364,2,0.0441075690109091,0.762773337391502
"mmu00410","beta-Alanine metabolism",8,-0.166540165200453,0.752499300119354,0.929261146718664,6,-0.59520153507261,0.119558387899899,0.506870432380116,8,TRUE,0.380870850136531,0.166540165200453,0,0,1,1
"mmu04216","Ferroptosis",5,0.529883668223803,0.279563992028408,0.74783367867599,6,0.154020814648896,0.715745650567568,0.841591039678349,8,TRUE,0.34195224143635,0.154020814648896,0,0,1,1
"mmu04024","cAMP signaling pathway",9,-0.379304589274136,0.458328765607189,0.925305243773005,6,-0.122141493041777,0.773252223078812,0.880191360313116,8,TRUE,0.250723041157957,0.122141493041777,1.1969696969697,1,0.5904696039592,1
"mmu01523","Antifolate resistance",4,0.0975814870461371,0.854092362044034,0.961861662300673,6,0.384927988984093,0.346384235216069,0.638488091793299,8,TRUE,0.241254738015115,0.0975814870461371,0,0,1,1
"mmu00120","Primary bile acid biosynthesis",3,0.133045178900324,0.801609749311119,0.949918756097082,6,0.0889147309254263,0.834161476369114,0.90863286840087,8,TRUE,0.110979954912875,0.0889147309254263,0,0,1,1
"mmu00564","Glycerophospholipid metabolism",19,-0.0860753935589871,0.871205774811137,0.961861662300673,6,-0.295440198597518,0.477439895480637,0.646423244722477,8,TRUE,0.190757796078253,0.0860753935589871,0,0,1,1
"mmu00920","Sulfur metabolism",7,0.778340971242413,0.0682537314894804,0.565060988679585,6,0.0853751811390676,0.840697700669964,0.90863286840087,8,TRUE,0.43185807619074,0.0853751811390676,0,0,1,1
"mmu04917","Prolactin signaling pathway",4,0.0809721362279372,0.878807242031102,0.961861662300673,6,0.276457117987761,0.507448842403744,0.662158855331715,8,TRUE,0.178714627107849,0.0809721362279372,8.07954545454546,3,0.0026406860891288,0.282553411536782
"mmu00740","Riboflavin metabolism",5,-0.0735011803943075,0.88994677166137,0.961861662300673,6,-0.695990089612829,0.0552008969848889,0.454345844414085,8,TRUE,0.384745635003568,0.0735011803943075,0,0,1,1
"mmu00770","Pantothenate and CoA biosynthesis",8,0.0617545008483304,0.907486002777092,0.971010022971489,6,0.349426561360495,0.396202467015949,0.638488091793299,8,TRUE,0.205590531104412,0.0617545008483304,0,0,1,1
"mmu04922","Glucagon signaling pathway",6,0.03698911177792,0.944541636480735,0.981222865081929,6,0.109076166172279,0.797098580510361,0.89778471699588,8,TRUE,0.0730326389750993,0.03698911177792,1.79545454545455,1,0.446291139631071,1
"mmu00561","Glycerolipid metabolism",4,0.737329846245757,0.0944318708092924,0.565060988679585,6,0.0156096589796131,0.970736643405934,0.992906581835586,8,TRUE,0.376469752612685,0.0156096589796131,0,0,1,1
"mmu00470","D-Amino acid metabolism",15,0.0078816408870915,0.988177783474165,0.988177783474165,6,0.281165024362906,0.49994059593461,0.660415355123497,8,TRUE,0.144523332624999,0.0078816408870915,0.718181818181818,1,0.778804487407324,1
"mmu00340","Histidine metabolism",11,0.248999181329513,0.634220276368398,0.929261146718664,6,-0.460281611425605,0.251118291580512,0.583331164433329,8,FALSE,0.354640396377559,0.248999181329513,0.979338842975207,1,0.665846112048787,1
"mmu04977","Vitamin digestion and absorption",7,0.208423746167099,0.69189139224163,0.929261146718664,6,-0.201166189568255,0.632865805368616,0.78834393471516,8,FALSE,0.204794967867677,0.201166189568255,0,0,1,1
"mmu00061","Fatty acid biosynthesis",3,0.178651466372297,0.73487375148766,0.929261146718664,6,-0.443126659798588,0.271496401340387,0.583331164433329,8,FALSE,0.310889063085443,0.178651466372297,0,0,1,1
"mmu00350","Tyrosine metabolism",8,-0.170807259085309,0.746280772491561,0.929261146718664,6,0.259003518170769,0.53564968355944,0.690536339046507,8,FALSE,0.214905388628039,0.170807259085309,2.69318181818182,2,0.163590094150786,1
"mmu00430","Taurine and hypotaurine metabolism",7,0.164437119849543,0.755567474434802,0.929261146718664,6,-0.560020648241384,0.148849318424194,0.513770228109314,8,FALSE,0.362228884045464,0.164437119849543,0,0,1,1
"mmu00760","Nicotinate and nicotinamide metabolism",9,-0.183863291756918,0.727312876930132,0.929261146718664,6,0.155400155913523,0.713281711014204,0.841591039678349,8,FALSE,0.169631723835221,0.155400155913523,0,0,1,1
"mmu04978","Mineral absorption",9,-0.153490074824924,0.77157293968361,0.938162551660753,6,0.447046047316839,0.266770798860528,0.583331164433329,8,FALSE,0.300268061070881,0.153490074824924,1.1969696969697,1,0.5904696039592,1
"mmu00030","Pentose phosphate pathway",6,0.59476330895353,0.213051832241701,0.660122037864857,6,-0.141583820237836,0.738056734431501,0.849162049292157,8,FALSE,0.368173564595683,0.141583820237836,0,0,1,1
"mmu04072","Phospholipase D signaling pathway",5,0.138960183033441,0.792901381324945,0.949918756097082,6,-0.142697533902285,0.73605204970574,0.849162049292157,8,FALSE,0.140828858467863,0.138960183033441,2.15454545454545,1,0.388283544735279,1
"mmu00591","Linoleic acid metabolism",4,-0.126554151193161,0.811182215890647,0.949918756097082,6,0.440151476794248,0.275110979990846,0.583331164433329,8,FALSE,0.283352813993705,0.126554151193161,0,0,1,1
"mmu00860","Porphyrin metabolism",3,-0.110781141690743,0.834508066103979,0.949918756097082,6,0.345578018752998,0.401780918933814,0.638488091793299,8,FALSE,0.22817958022187,0.110781141690743,0,0,1,1
"mmu05143","African trypanosomiasis",3,-0.122527378246529,0.817128681847668,0.949918756097082,6,0.0955230391907498,0.82198083707168,0.90863286840087,8,FALSE,0.109025208718639,0.0955230391907498,0,0,1,1
"mmu00970","Aminoacyl-tRNA biosynthesis",15,-0.0757919657127753,0.886529741950993,0.961861662300673,6,0.503896720366349,0.202942799116728,0.55679178219205,8,FALSE,0.289844343039562,0.0757919657127753,1.43636363636364,2,0.415647675688006,1
"mmu04080","Neuroactive ligand-receptor interaction",15,0.232953301930891,0.65689091357856,0.929261146718664,6,-0.0729530775103934,0.863697538926713,0.924156366651583,8,FALSE,0.152953189720642,0.0729530775103934,2.15454545454545,3,0.151370193892264,1
"mmu04152","AMPK signaling pathway",4,0.702398264693902,0.119671373663402,0.565060988679585,6,-0.0619023363956897,0.884229282801197,0.936757755046812,8,FALSE,0.382150300544796,0.0619023363956897,0,0,1,1
"mmu00310","Lysine degradation",6,0.288378196157461,0.579423757233951,0.929261146718664,6,-0.0505902369951108,0.905305030414643,0.949682727983989,8,FALSE,0.169484216576286,0.0505902369951108,0,0,1,1
"mmu04974","Protein digestion and absorption",17,-0.0481243666883121,0.927869176893398,0.973913151648996,6,0.377282415973684,0.356857817055143,0.638488091793299,8,FALSE,0.212703391330998,0.0481243666883121,1.26737967914438,2,0.483327101562907,1
"mmu00620","Pyruvate metabolism",5,-0.0477675368001015,0.928403191291566,0.973913151648996,6,0.0869512246918629,0.837786334957655,0.90863286840087,8,FALSE,0.0673593807459822,0.0477675368001015,2.15454545454545,1,0.388283544735279,1
"mmu00260","Glycine, serine and threonine metabolism",11,0.307014592127844,0.553947396346475,0.929261146718664,6,-0.0241931508350229,0.954655539648706,0.991729541188462,8,FALSE,0.165603871481434,0.0241931508350229,0,0,1,1
"mmu04981","Folate transport and metabolism",6,-0.0160985165217115,0.975854311281187,0.988177783474165,6,0.628783861983595,0.0949238850031614,0.501506867953952,8,FALSE,0.322441189252653,0.0160985165217115,1.79545454545455,1,0.446291139631071,1
"mmu00052","Galactose metabolism",5,-0.0199535633522839,0.970073627174226,0.988177783474165,6,0.0132825830911701,0.9750980858071,0.992906581835586,8,FALSE,0.016618073221727,0.0132825830911701,2.15454545454545,1,0.388283544735279,1
"mmu04723","Retrograde endocannabinoid signaling",6,-0.00970161684232365,0.985448031301246,0.988177783474165,6,0.328659762437423,0.426701078972525,0.638488091793299,8,FALSE,0.169180689639873,0.00970161684232365,0,0,1,1
"mmu00630","Glyoxylate and dicarboxylate metabolism",14,0.386056702621884,0.449683848624634,0.925305243773005,6,-0.00459303937457879,0.991388172290408,0.992906581835586,8,FALSE,0.195324870998231,0.00459303937457879,1.53896103896104,2,0.38041067811524,1
"mmu04727","GABAergic synapse",6,-0.110820042391254,0.834450431415718,0.949918756097082,6,0.00378319245227447,0.992906581835586,0.992906581835586,8,FALSE,0.0573016174217644,0.00378319245227447,1.79545454545455,1,0.446291139631071,1
